"order","metEns","runID","start.year","end.year","Status"
94,"NLDAS_downscaled_007.10","TDM_007.10",1999,2014,""
95,"NLDAS_downscaled_008.04","TDM_008.04",1999,2014,""
96,"NLDAS_downscaled_002.04","TDM_002.04",1999,2014,""
97,"NLDAS_downscaled_010.07","TDM_010.07",1999,2014,""
98,"NLDAS_downscaled_005.10","TDM_005.10",1999,2014,""
99,"NLDAS_downscaled_007.03","TDM_007.03",1999,2014,""
100,"NLDAS_downscaled_007.07","TDM_007.07",1999,2014,""
101,"NLDAS_downscaled_006.06","TDM_006.06",1999,2014,""
102,"NLDAS_downscaled_006.09","TDM_006.09",1999,2014,""
103,"NLDAS_downscaled_006.02","TDM_006.02",1999,2014,""
